App,Category,Rating,Reviews,Size,Installs,Free,Price,Content Rating,Genres_1,Genres_2,Last Updated,Current Ver,Android Ver
Sad Poetry Photo Frames 2018,ART_AND_DESIGN,4,176,10000000,100000,True,0.0,Everyone,Art & Design,nan,2018-02-04,1.0,4.0.3
Paint Splash!,ART_AND_DESIGN,3,2206,1200000,100000,True,0.0,Everyone,Art & Design,Creativity,2018-04-15,1.46,4.1
Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,4,26,12000000,10000,True,0.0,Everyone,Art & Design,nan,2018-03-01,1.0.0,4.1
"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4,174531,24000000,10000000,True,0.0,Everyone,Art & Design,nan,2018-07-31,1.6.1,4.1
Install images with music to make video without Net - 2018,ART_AND_DESIGN,4,1070,26000000,100000,True,0.0,Everyone,Art & Design,nan,2017-11-14,1.6,4.1
Little Teddy Bear Colouring Book Game,ART_AND_DESIGN,4,85,8000000,100000,True,0.0,Everyone,Art & Design,nan,2017-12-17,2.0.0,4.1
How To Draw Food,ART_AND_DESIGN,4,845,7900000,100000,True,0.0,Everyone,Art & Design,nan,2018-05-28,1.0,2.3
Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,4,367,25000000,100000,True,0.0,Everyone,Auto & Vehicles,nan,2018-10-05,1.0,4.0.3
Real Tractor Farming,AUTO_AND_VEHICLES,4,1598,56000000,1000000,True,0.0,Everyone,Auto & Vehicles,nan,2018-07-26,11.0,4.1
Ultimate F1 Racing Championship,AUTO_AND_VEHICLES,3,284,57000000,100000,True,0.0,Everyone,Auto & Vehicles,nan,2018-07-26,3.0,4.1
American Muscle Car Race,AUTO_AND_VEHICLES,3,129,35000000,100000,True,0.0,Everyone,Auto & Vehicles,nan,2018-07-26,3.0,4.1
Offroad Oil Tanker Driver Transport Truck 2019,AUTO_AND_VEHICLES,4,542,33000000,100000,True,0.0,Everyone,Auto & Vehicles,nan,2018-07-31,4.0,4.1
Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,4,10479,33000000,100000,True,0.0,Everyone,Auto & Vehicles,nan,2018-07-18,1.7.1,4.0
Gas Prices (Germany only),AUTO_AND_VEHICLES,4,805,5600000,50000,True,0.0,Everyone,Auto & Vehicles,nan,2018-07-29,2.5.1,4.4
Extreme Rally Championship,AUTO_AND_VEHICLES,4,129,54000000,100000,True,0.0,Everyone,Auto & Vehicles,nan,2018-07-26,3.0,4.1
Restart Navigator,AUTO_AND_VEHICLES,4,1403,201000,100000,True,0.0,Everyone,Auto & Vehicles,nan,2014-08-26,1.0.1,2.2
"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3,3971,3600000,100000,True,0.0,Everyone,Auto & Vehicles,nan,2018-07-30,2.493,4.4
CityBus Lviv,AUTO_AND_VEHICLES,4,534,5700000,10000,True,0.0,Everyone,Auto & Vehicles,nan,2018-08-07,1.9.1,4.0.3
CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4,7774,17000000,100000,True,0.0,Everyone,Auto & Vehicles,nan,2018-03-07,1.7,4.2
"ezETC (ETC balance inquiry, meter trial, real-time traffic)",AUTO_AND_VEHICLES,4,38846,8600000,1000000,True,0.0,Everyone,Auto & Vehicles,nan,2018-07-28,2.20 Build 02,4.1
Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4,2431,2400000,100000,True,0.0,Everyone,Auto & Vehicles,nan,2018-12-06,1.37,4.0
DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4,6090,27000000,100000,True,0.0,Everyone,Auto & Vehicles,nan,2018-03-07,1.7,4.2
Check Vehicle Tax,AUTO_AND_VEHICLES,3,295,2700000,10000,True,0.0,Everyone,Auto & Vehicles,nan,2018-07-30,0.2.1,4.4
Used Cars Mexico,AUTO_AND_VEHICLES,4,190,2500000,50000,True,0.0,Everyone,Auto & Vehicles,nan,2016-10-14,1.0,2.3
Used cars for sale - Trovit,AUTO_AND_VEHICLES,4,52530,7000000,5000000,True,0.0,Everyone,Auto & Vehicles,nan,2018-07-16,4.47.3,4.0.3
"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,4,116986,35000000,5000000,True,0.0,Everyone,Auto & Vehicles,nan,2018-02-08,1.9.7,4.0.3
SK Enca Direct Malls - Used Cars Search,AUTO_AND_VEHICLES,3,1379,16000000,500000,True,0.0,Everyone,Auto & Vehicles,nan,2018-02-08,2.2.21,4.2
Tickets SDA 2019 + Exam RF,AUTO_AND_VEHICLES,4,7021,17000000,500000,True,0.0,Everyone,Auto & Vehicles,nan,2018-07-27,1.79,4.0
Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,4,197,3400000,50000,True,0.0,Everyone,Auto & Vehicles,nan,2018-06-14,1.3,4.0
"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,4,737,8900000,100000,True,0.0,Everyone,Auto & Vehicles,nan,2018-08-06,2.3.5.1,4.1
Police Detector (Speed Camera Radar),AUTO_AND_VEHICLES,4,3574,3900000,1000000,True,0.0,Everyone 10+,Auto & Vehicles,nan,2018-04-07,1.6,4.0
Best Car Wallpapers,AUTO_AND_VEHICLES,4,994,2900000,100000,True,0.0,Everyone,Auto & Vehicles,nan,2018-03-27,1.6,4.1
Tickets + PDA 2018 Exam,AUTO_AND_VEHICLES,4,197136,38000000,1000000,True,0.0,Everyone,Auto & Vehicles,nan,2018-07-15,8.31,4.1
Pick Your Part Garage,AUTO_AND_VEHICLES,3,142,32000000,50000,True,0.0,Everyone,Auto & Vehicles,nan,2018-07-24,1.1.5.0,6.0
PakWheels: Buy & Sell Cars,AUTO_AND_VEHICLES,4,15168,37000000,1000000,True,0.0,Everyone,Auto & Vehicles,nan,2018-07-27,10.0.2,4.2
Supervision service,AUTO_AND_VEHICLES,4,2155,15000000,500000,True,0.0,Everyone,Auto & Vehicles,nan,2018-07-30,1.10.3,5.0
Speed Camera Detector - Traffic & Speed Alert,AUTO_AND_VEHICLES,4,138,5400000,100000,True,0.0,Everyone,Auto & Vehicles,nan,2018-07-23,1.0,4.0.3
Used car search Goo net whole car Go to net,AUTO_AND_VEHICLES,3,5414,18000000,1000000,True,0.0,Everyone,Auto & Vehicles,nan,2018-07-23,3.20.1,4.4
BEST CAR SOUNDS,AUTO_AND_VEHICLES,4,348,38000000,100000,True,0.0,Everyone,Auto & Vehicles,nan,2018-07-29,1.0.3,2.3
RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,3,250,1100000,100000,True,0.0,Everyone,Auto & Vehicles,nan,2018-04-27,1.4,4.0.3
SMS Park,AUTO_AND_VEHICLES,4,3617,7900000,100000,True,0.0,Everyone,Auto & Vehicles,nan,2018-05-16,2.8.2,4.1
SKencar,AUTO_AND_VEHICLES,3,4806,35000000,1000000,True,0.0,Everyone,Auto & Vehicles,nan,2018-07-31,4.0.3,4.0.3
auto fines,AUTO_AND_VEHICLES,4,31433,17000000,1000000,True,0.0,Everyone,Auto & Vehicles,nan,2018-02-08,1.40,4.0.3
"Used car is the first car - used car purchase, used car quotation, dealer information to",AUTO_AND_VEHICLES,4,5097,19000000,1000000,True,0.0,Everyone,Auto & Vehicles,nan,2018-07-23,1.5.18,4.0.3
All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),AUTO_AND_VEHICLES,4,1754,14000000,500000,True,0.0,Everyone,Auto & Vehicles,nan,2018-02-06,2.3.4,4.0
Inquiry Fines and Debits of Vehicles,AUTO_AND_VEHICLES,4,2680,2200000,500000,True,0.0,Everyone,Auto & Vehicles,nan,2018-03-20,1.03,4.0.3
Gas Station,AUTO_AND_VEHICLES,4,1288,4500000,100000,True,0.0,Everyone,Auto & Vehicles,nan,2018-04-21,2.17,4.0
Hush - Beauty for Everyone,BEAUTY,4,18900,17000000,500000,True,0.0,Everyone,Beauty,nan,2018-02-08,6.10.1,5.0
"ipsy: Makeup, Beauty, and Tips",BEAUTY,4,49790,14000000,1000000,True,0.0,Everyone,Beauty,nan,2017-09-11,2.3.0,4.1
Natural recipes for your beauty,BEAUTY,4,1150,9800000,100000,True,0.0,Everyone,Beauty,nan,2018-05-15,4.0,4.1
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3,1739,21000000,500000,True,0.0,Everyone,Beauty,nan,2018-12-07,1.0.6,4.0.3
Beauty Selfie Camera,BEAUTY,4,2225,52000000,500000,True,0.0,Everyone,Beauty,nan,2018-02-28,1.6,4.1
Hairstyles step by step,BEAUTY,4,4369,14000000,100000,True,0.0,Everyone,Beauty,nan,2018-07-25,1.9,4.0.3
Filters for Selfie,BEAUTY,4,8572,25000000,1000000,True,0.0,Everyone,Beauty,nan,2018-10-05,1.1.0,4.0
Tie - Always be happy,BEAUTY,4,964,9000000,50000,True,0.0,Everyone,Beauty,nan,2018-06-21,4.0,4.2
Prom MakeUp Tutorial,BEAUTY,4,104,12000000,10000,True,0.0,Everyone,Beauty,nan,2018-06-26,1.3,4.0.3
Sweet Selfie Beauty Camera,BEAUTY,4,601,35000000,100000,True,0.0,Everyone,Beauty,nan,2018-02-06,2.0.0,4.0
Colors of white in Urdu,BEAUTY,4,36,6700000,10000,True,0.0,Everyone,Beauty,nan,2018-07-26,6.0,4.0
Selfie Camera Photo Editor & Filter & Sticker,BEAUTY,4,187,30000000,50000,True,0.0,Teen,Beauty,nan,2018-07-24,3.0.1,4.0.3
Eyes Makeup Beauty Tips,BEAUTY,4,30,2900000,10000,True,0.0,Everyone,Beauty,nan,2018-09-04,3.3.9,4.0.3
Photo Editor 2018,BEAUTY,4,134,17000000,10000,True,0.0,Everyone,Beauty,nan,2018-01-03,1.20,4.0.3
Step By Step Eyes Makeup Tutorial,BEAUTY,4,74,2900000,10000,True,0.0,Everyone,Beauty,nan,2018-05-04,2.3.09,4.0.3
Mirror Camera (Mirror + Selfie Camera),BEAUTY,4,9315,2600000,1000000,True,0.0,Everyone,Beauty,nan,2017-11-21,1.4.2,4.0
Beauty Tips - Beauty Tips in Sinhala,BEAUTY,4,75,4200000,50000,True,0.0,Everyone,Beauty,nan,2017-10-18,1.0.0,4.0.3
Haircut Tutorials/Haircut Videos,BEAUTY,4,38,7100000,10000,True,0.0,Everyone,Beauty,nan,2018-05-29,1.0,4.0
"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",BEAUTY,4,26834,57000000,1000000,True,0.0,Everyone,Beauty,nan,2018-07-24,18.5,5.0
"Sticker Camera - Selfie Filters, Beauty Camera",BEAUTY,3,2277,22000000,500000,True,0.0,Everyone,Beauty,nan,2018-12-07,1.1.0,4.0.3
Filters for B Live,BEAUTY,4,2280,24000000,500000,True,0.0,Everyone,Beauty,nan,2018-05-14,1.1.0,4.0
Facial Wrinkle Reduction,BEAUTY,4,184,21000000,10000,True,0.0,Everyone,Beauty,nan,2018-02-07,1.5,4.1
Makeup Videos,BEAUTY,3,9,3400000,5000,True,0.0,Everyone,Beauty,nan,2018-07-06,1.0,4.0
Discover Color,BEAUTY,4,364,6400000,100000,True,0.0,Everyone,Beauty,nan,2018-05-24,1.1,4.0.3
Eyeliner step by step 2018,BEAUTY,4,18,3200000,5000,True,0.0,Everyone,Beauty,nan,2018-01-06,1.2.13,4.0.3
Dresses Ideas & Fashions +3000,BEAUTY,4,473,8199999,100000,True,0.0,Mature 17+,Beauty,nan,2017-01-03,1.0.2.0,1.6
Step By Step Hairstyles For Women,BEAUTY,4,66,2900000,10000,True,0.0,Everyone,Beauty,nan,2018-05-04,3.1.89,4.0.3
Rainbow Camera,BEAUTY,3,3871,23000000,1000000,True,0.0,Everyone,Beauty,nan,2018-07-30,2.2.0,4.0
Methods of teeth whitening,BEAUTY,4,257,4600000,50000,True,0.0,Everyone,Beauty,nan,2017-07-08,1.0,4.0.3
Girls hairstyles 2018,BEAUTY,4,62,3100000,10000,True,0.0,Everyone,Beauty,nan,2018-05-28,1.9.2,4.0.3
E-Book Read - Read Book for free,BOOKS_AND_REFERENCE,4,1857,4900000,50000,True,0.0,Everyone,Books & Reference,nan,2018-03-08,1.3.2,4.4
Download free book with green book,BOOKS_AND_REFERENCE,4,4478,9500000,100000,True,0.0,Everyone 10+,Books & Reference,nan,2017-07-31,1.1,4.0
Free Panda Radio Music,BOOKS_AND_REFERENCE,4,418,4200000,100000,True,0.0,Everyone,Books & Reference,nan,2018-03-27,2.1,4.1
Book store,BOOKS_AND_REFERENCE,4,22486,5400000,1000000,True,0.0,Teen,Books & Reference,nan,2018-06-06,3.2.1,4.0
English Grammar Complete Handbook,BOOKS_AND_REFERENCE,4,1435,2800000,500000,True,0.0,Everyone,Books & Reference,nan,2018-01-21,1.0,4.0
Free Books - Spirit Fanfiction and Stories,BOOKS_AND_REFERENCE,4,116507,5000000,1000000,True,0.0,Teen,Books & Reference,nan,2018-01-08,2.0.075,4.0.3
AlReader -any text book reader,BOOKS_AND_REFERENCE,4,90468,5900000,5000000,True,0.0,Everyone,Books & Reference,nan,2018-05-27,1.911805270,2.3
Offline English Dictionary,BOOKS_AND_REFERENCE,4,860,13000000,100000,True,0.0,Everyone,Books & Reference,nan,2018-07-17,1.0,4.0.3
Oxford Dictionary of English : Free,BOOKS_AND_REFERENCE,4,363934,7100000,10000000,True,0.0,Everyone,Books & Reference,nan,2018-11-07,9.1.363,4.1
Offline: English to Tagalog Dictionary,BOOKS_AND_REFERENCE,4,967,6700000,500000,True,0.0,Everyone,Books & Reference,nan,2018-04-08,1.1.6,4.0.3
FamilySearch Tree,BOOKS_AND_REFERENCE,4,17506,17000000,1000000,True,0.0,Everyone,Books & Reference,nan,2018-07-20,2.3.18,4.1
Cloud of Books,BOOKS_AND_REFERENCE,3,1862,19000000,1000000,True,0.0,Everyone,Books & Reference,nan,2018-04-27,2.2.5,4.1
Recipes of Prophetic Medicine for free,BOOKS_AND_REFERENCE,4,2084,6700000,500000,True,0.0,Everyone,Books & Reference,nan,2018-05-17,15.0,2.3
ReadEra – free ebook reader,BOOKS_AND_REFERENCE,4,47303,21000000,1000000,True,0.0,Everyone,Books & Reference,nan,2018-02-06,18.05.31+530,4.1
Ebook Reader,BOOKS_AND_REFERENCE,4,85842,37000000,5000000,True,0.0,Everyone,Books & Reference,nan,2018-06-25,5.0.6,4.0
Litnet - E-books,BOOKS_AND_REFERENCE,4,7831,15000000,100000,True,0.0,Teen,Books & Reference,nan,2018-04-07,1.2.3,4.0
Read books online,BOOKS_AND_REFERENCE,4,91615,23000000,5000000,True,0.0,Mature 17+,Books & Reference,nan,2018-06-29,3.12,4.1
English to Urdu Dictionary,BOOKS_AND_REFERENCE,4,4620,19000000,500000,True,0.0,Everyone,Books & Reference,nan,2017-11-23,2.0,4.0.3
eBoox: book reader fb2 epub zip,BOOKS_AND_REFERENCE,4,21336,23000000,1000000,True,0.0,Everyone,Books & Reference,nan,2018-06-20,1.28,3.0
English Persian Dictionary,BOOKS_AND_REFERENCE,4,26875,73000000,500000,True,0.0,Everyone,Books & Reference,nan,2018-01-08,6.0.8,4.0.3
Flybook,BOOKS_AND_REFERENCE,3,1778,4900000,500000,True,0.0,Mature 17+,Books & Reference,nan,2014-10-16,1.0.3,2.1
All Maths Formulas,BOOKS_AND_REFERENCE,4,2709,6800000,1000000,True,0.0,Everyone,Books & Reference,nan,2018-11-07,1.9,4.4
English translation from Bengali,BOOKS_AND_REFERENCE,4,527,2900000,100000,True,0.0,Everyone,Books & Reference,nan,2018-03-31,14.0,4.0
Pdf Book Download - Read Pdf Book,BOOKS_AND_REFERENCE,4,1322,3500000,100000,True,0.0,Everyone,Books & Reference,nan,2018-05-28,6.0,4.0.3
Free Book Reader,BOOKS_AND_REFERENCE,3,1680,4000000,100000,True,0.0,Everyone,Books & Reference,nan,2016-08-20,3.05,4.0.3
eBoox new: Reader for fb2 epub zip books,BOOKS_AND_REFERENCE,4,2739,21000000,50000,True,0.0,Everyone,Books & Reference,nan,2018-07-17,2.0,3.0
"Only 30 days in English, the guideline is guaranteed",BOOKS_AND_REFERENCE,4,1065,2300000,500000,True,0.0,Everyone,Books & Reference,nan,2018-06-16,1.5,3.0
English-Myanmar Dictionary,BOOKS_AND_REFERENCE,4,8788,10000000,1000000,True,0.0,Everyone,Books & Reference,nan,2018-07-28,2.5.3,4.0
Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,4,51269,6100000,1000000,True,0.0,Everyone,Books & Reference,nan,2018-07-19,7.0.4.6,4.2
All Language Translator Free,BOOKS_AND_REFERENCE,4,30105,2100000,1000000,True,0.0,Everyone,Books & Reference,nan,2018-07-29,1.15,4.0.3
Azpen eReader,BOOKS_AND_REFERENCE,3,156,42000000,500000,True,0.0,Everyone,Books & Reference,nan,2018-02-15,3.1.7.9,2.2
English Dictionary - Offline,BOOKS_AND_REFERENCE,4,341157,30000000,10000000,True,0.0,Everyone 10+,Books & Reference,nan,2018-03-20,3.9.1,4.2
ADP Mobile Solutions,BUSINESS,4,85185,29000000,5000000,True,0.0,Everyone,Business,nan,2018-07-17,3.4.2,5.0
OfficeSuite : Free Office + PDF Editor,BUSINESS,4,1002861,35000000,100000000,True,0.0,Everyone,Business,nan,2018-02-08,9.7.14188,4.1
USPS MOBILE®,BUSINESS,3,16589,9100000,1000000,True,0.0,Everyone,Business,nan,2018-06-14,4.9.10,4.0.3
Job Search by ZipRecruiter,BUSINESS,4,148945,25000000,1000000,True,0.0,Everyone,Business,nan,2018-07-19,5.2.8,5.0
Curriculum vitae App CV Builder Free Resume Maker,BUSINESS,4,4458,3900000,500000,True,0.0,Everyone,Business,nan,2018-08-07,3.3,4.1
Google Primer,BUSINESS,4,62272,18000000,10000000,True,0.0,Everyone,Business,nan,2018-06-26,3.550.2,4.1
Alba Heaven - Alvarez Job Portal Services,BUSINESS,4,8941,12000000,5000000,True,0.0,Everyone,Business,nan,2018-07-31,4.6.30,4.0.3
SuperLivePro,BUSINESS,4,46353,21000000,1000000,True,0.0,Everyone,Business,nan,2016-04-13,2.8,1.5
Polaris Office for LG,BUSINESS,4,30847,55000000,5000000,True,0.0,Everyone,Business,nan,2018-08-02,7.3.21,4.1
Call Blocker,BUSINESS,4,188841,3200000,5000000,True,0.0,Everyone,Business,nan,2018-06-21,1.1.13,4.0
Plugin:AOT v5.0,BUSINESS,3,4034,23000,100000,True,0.0,Everyone,Business,nan,2015-11-09,3.0.1.11 (Build 311),2.2
Kariyer.net,BUSINESS,3,45964,16000000,1000000,True,0.0,Everyone,Business,nan,2018-07-18,5.1.5,4.1
Become a Job - Find a job or advertise,BUSINESS,4,6903,14000000,1000000,True,0.0,Everyone,Business,nan,2018-10-07,2.3.6,4.1
ZOOM Cloud Meetings,BUSINESS,4,31614,37000000,10000000,True,0.0,Everyone,Business,nan,2018-07-20,4.1.28165.0716,4.0
"IndiaMART: Search Products, Buy, Sell & Trade",BUSINESS,4,207372,11000000,5000000,True,0.0,Everyone,Business,nan,2018-02-08,12.2.4,4.0
ViettelPost express delivery,BUSINESS,4,1225,25000000,100000,True,0.0,Everyone,Business,nan,2018-01-08,1.0.6.8,4.1
MyASUS - Service Center,BUSINESS,4,380837,7300000,10000000,True,0.0,Everyone,Business,nan,2018-04-07,3.4.5,4.2
Job Korea - Career Jobs,BUSINESS,4,10600,6500000,1000000,True,0.0,Everyone,Business,nan,2018-01-08,2.5.6,4.0
"104 Looking for a job - looking for a job, looking for a job, looking for a part-time job, health checkup, resume, treatment room",BUSINESS,4,74359,25000000,1000000,True,0.0,Everyone,Business,nan,2018-07-27,1.12.5,4.0
Myanmar 2D/3D,BUSINESS,4,822,3100000,100000,True,0.0,Everyone,Business,nan,2018-08-06,1.5,4.0.3
sABN,BUSINESS,4,2287,1500000,1000000,True,0.0,Everyone,Business,nan,2018-03-26,4.9,2.2
ATI Cargoes and Transportation,BUSINESS,4,4162,7500000,100000,True,0.0,Everyone,Business,nan,2018-07-24,0.9.4,4.0.3
Secure Folder,BUSINESS,3,14760,8600000,50000000,True,0.0,Everyone,Business,nan,2018-01-31,1.1.07.6,7.0
Tiny Scanner - PDF Scanner App,BUSINESS,4,286897,39000000,10000000,True,0.0,Everyone,Business,nan,2017-05-30,1.2.6,3.0
Fast Scanner : Free PDF Scan,BUSINESS,4,103755,14000000,10000000,True,0.0,Everyone,Business,nan,2018-11-07,3.9.2,4.1
Mobile Doc Scanner (MDScan) Lite,BUSINESS,4,46505,19000000,1000000,True,0.0,Everyone,Business,nan,2018-02-08,3.4.49,4.1
TurboScan: scan documents and receipts in PDF,BUSINESS,4,11442,6800000,100000,False,4.99,Everyone,Business,nan,2018-03-25,1.5.2,4.0
Tiny Scanner Pro: PDF Doc Scan,BUSINESS,4,10295,39000000,100000,False,4.99,Everyone,Business,nan,2017-11-04,3.4.6,3.0
Zenefits,BUSINESS,4,296,14000000,50000,True,0.0,Everyone,Business,nan,2018-06-15,3.2.1,4.1
Google Ads,BUSINESS,4,29313,20000000,5000000,True,0.0,Everyone,Business,nan,2018-07-30,1.12.0,4.0.3
FreshBooks Classic,BUSINESS,4,1802,26000000,100000,True,0.0,Everyone,Business,nan,2018-04-18,1.7.14,4.2
Insightly CRM,BUSINESS,3,1383,51000000,100000,True,0.0,Everyone,Business,nan,2018-12-07,3.24.1,5.0
QuickBooks Accounting: Invoicing & Expenses,BUSINESS,4,23175,41000000,1000000,True,0.0,Everyone,Business,nan,2018-07-13,18.7,4.1
HipChat - Chat Built for Teams,BUSINESS,3,5868,20000000,500000,True,0.0,Everyone,Business,nan,2018-03-07,3.19.005,4.1
"MailChimp - Email, Marketing Automation",BUSINESS,4,5448,12000000,500000,True,0.0,Everyone,Business,nan,2018-07-25,4.9.1,5.0
Crew - Free Messaging and Scheduling,BUSINESS,4,4159,48000000,500000,True,0.0,Everyone,Business,nan,2018-07-20,6.1.2,4.0.3
Asana: organize team projects,BUSINESS,4,20815,10000000,1000000,True,0.0,Everyone,Business,nan,2018-07-26,6.4.4,5.0
