,App,Category,Rating,Reviews,Size,Installs,Free,Price,Content Rating,Genres_1,Genres_2,Last Updated,Current Ver,Android Ver
27,Pink Silver Bow Keyboard Theme,ART_AND_DESIGN,4,1120,9200000,100000,TRUE,0,Everyone,Art & Design,nan,2018-12-07 00:00:00,6.7.12.2018,4.0.3
28,Art Drawing Ideas,ART_AND_DESIGN,4,227,5200000,50000,TRUE,0,Everyone,Art & Design,nan,2018-05-31 00:00:00,1.2,2.3
29,Anime Manga Coloring Book,ART_AND_DESIGN,4,5035,11000000,100000,TRUE,0,Everyone,Art & Design,nan,2018-07-19 00:00:00,2.20,4.0
30,Easy Origami Ideas,ART_AND_DESIGN,4,1015,11000000,100000,TRUE,0,Everyone,Art & Design,nan,2018-06-01 00:00:00,1.1.0,4.1
31,I Creative Idea,ART_AND_DESIGN,4,353,4200000,10000,TRUE,0,Teen,Art & Design,nan,2018-04-27 00:00:00,1.6,4.1
32,How to draw Ladybug and Cat Noir,ART_AND_DESIGN,3,564,9200000,100000,TRUE,0,Everyone,Art & Design,nan,2018-11-07 00:00:00,2.1,4.1
33,UNICORN - Color By Number & Pixel Art Coloring,ART_AND_DESIGN,4,8145,24000000,500000,TRUE,0,Everyone,Art & Design,Creativity,2018-02-08 00:00:00,1.0.9,4.4
34,PIP Camera - PIP Collage Maker,ART_AND_DESIGN,4,158,11000000,10000,TRUE,0,Everyone,Art & Design,nan,2017-11-29 00:00:00,1.3,4.0.3
35,How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,4,591,9400000,500000,TRUE,0,Everyone,Art & Design,nan,2018-03-31 00:00:00,1,4.0
36,Drawing Clothes Fashion Ideas,ART_AND_DESIGN,4,117,15000000,10000,TRUE,0,Everyone,Art & Design,nan,2018-07-20 00:00:00,2.0.1,4.0.3
37,Sad Poetry Photo Frames 2018,ART_AND_DESIGN,4,176,10000000,100000,TRUE,0,Everyone,Art & Design,nan,2018-02-04 00:00:00,1.0,4.0.3
38,Paint Splash!,ART_AND_DESIGN,3,2206,1200000,100000,TRUE,0,Everyone,Art & Design,Creativity,2018-04-15 00:00:00,1.46,4.1
39,Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,4,26,12000000,10000,TRUE,0,Everyone,Art & Design,nan,2018-03-01 00:00:00,1.0.0,4.1
40,"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4,174531,24000000,10000000,TRUE,0,Everyone,Art & Design,nan,2018-07-31 00:00:00,1.6.1,4.1
41,Install images with music to make video without Net - 2018,ART_AND_DESIGN,4,1070,26000000,100000,TRUE,0,Everyone,Art & Design,nan,2017-11-14 00:00:00,1.6,4.1
42,Little Teddy Bear Colouring Book Game,ART_AND_DESIGN,4,85,8000000,100000,TRUE,0,Everyone,Art & Design,nan,2017-12-17 00:00:00,2.0.0,4.1
43,How To Draw Food,ART_AND_DESIGN,4,845,7900000,100000,TRUE,0,Everyone,Art & Design,nan,2018-05-28 00:00:00,1.0,2.3
44,Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,4,367,25000000,100000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-10-05 00:00:00,1.0,4.0.3
45,Real Tractor Farming,AUTO_AND_VEHICLES,4,1598,56000000,1000000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-07-26 00:00:00,11.0,4.1
46,Ultimate F1 Racing Championship,AUTO_AND_VEHICLES,3,284,57000000,100000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-07-26 00:00:00,3.0,4.1
47,American Muscle Car Race,AUTO_AND_VEHICLES,3,129,35000000,100000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-07-26 00:00:00,3.0,4.1
48,Offroad Oil Tanker Driver Transport Truck 2019,AUTO_AND_VEHICLES,4,542,33000000,100000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-07-31 00:00:00,4.0,4.1
49,Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,4,10479,33000000,100000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-07-18 00:00:00,1.7.1,4.0
50,Gas Prices (Germany only),AUTO_AND_VEHICLES,4,805,5600000,50000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-07-29 00:00:00,2.5.1,4.4
51,Extreme Rally Championship,AUTO_AND_VEHICLES,4,129,54000000,100000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-07-26 00:00:00,3.0,4.1
52,Restart Navigator,AUTO_AND_VEHICLES,4,1403,201000,100000,TRUE,0,Everyone,Auto & Vehicles,nan,2014-08-26 00:00:00,1.0.1,2.2
53,"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3,3971,3600000,100000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-07-30 00:00:00,2.493,4.4
54,CityBus Lviv,AUTO_AND_VEHICLES,4,534,5700000,10000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-08-07 00:00:00,1.9.1,4.0.3
55,CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4,7774,17000000,100000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-03-07 00:00:00,1.7,4.2
56,"ezETC (ETC balance inquiry, meter trial, real-time traffic)",AUTO_AND_VEHICLES,4,38846,8600000,1000000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-07-28 00:00:00,2.20 Build 02,4.1
57,Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4,2431,2400000,100000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-12-06 00:00:00,1.37,4.0
58,DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4,6090,27000000,100000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-03-07 00:00:00,1.7,4.2
59,Check Vehicle Tax,AUTO_AND_VEHICLES,3,295,2700000,10000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-07-30 00:00:00,0.2.1,4.4
60,Used Cars Mexico,AUTO_AND_VEHICLES,4,190,2500000,50000,TRUE,0,Everyone,Auto & Vehicles,nan,2016-10-14 00:00:00,1.0,2.3
61,Used cars for sale - Trovit,AUTO_AND_VEHICLES,4,52530,7000000,5000000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-07-16 00:00:00,4.47.3,4.0.3
62,"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,4,116986,35000000,5000000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-02-08 00:00:00,1.9.7,4.0.3
63,SK Enca Direct Malls - Used Cars Search,AUTO_AND_VEHICLES,3,1379,16000000,500000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-02-08 00:00:00,2.2.21,4.2
64,Tickets SDA 2019 + Exam RF,AUTO_AND_VEHICLES,4,7021,17000000,500000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-07-27 00:00:00,1.79,4.0
65,Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,4,197,3400000,50000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-06-14 00:00:00,1.3,4.0
66,"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,4,737,8900000,100000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-08-06 00:00:00,2.3.5.1,4.1
67,Police Detector (Speed Camera Radar),AUTO_AND_VEHICLES,4,3574,3900000,1000000,TRUE,0,Everyone 10+,Auto & Vehicles,nan,2018-04-07 00:00:00,1.6,4.0
68,Best Car Wallpapers,AUTO_AND_VEHICLES,4,994,2900000,100000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-03-27 00:00:00,1.6,4.1
69,Tickets + PDA 2018 Exam,AUTO_AND_VEHICLES,4,197136,38000000,1000000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-07-15 00:00:00,8.31,4.1
70,Pick Your Part Garage,AUTO_AND_VEHICLES,3,142,32000000,50000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-07-24 00:00:00,1.1.5.0,6.0
71,PakWheels: Buy & Sell Cars,AUTO_AND_VEHICLES,4,15168,37000000,1000000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-07-27 00:00:00,10.0.2,4.2
72,Supervision service,AUTO_AND_VEHICLES,4,2155,15000000,500000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-07-30 00:00:00,1.10.3,5.0
73,Speed Camera Detector - Traffic & Speed Alert,AUTO_AND_VEHICLES,4,138,5400000,100000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-07-23 00:00:00,1.0,4.0.3
74,Used car search Goo net whole car Go to net,AUTO_AND_VEHICLES,3,5414,18000000,1000000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-07-23 00:00:00,3.20.1,4.4
75,BEST CAR SOUNDS,AUTO_AND_VEHICLES,4,348,38000000,100000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-07-29 00:00:00,1.0.3,2.3
76,RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,3,250,1100000,100000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-04-27 00:00:00,1.4,4.0.3
77,SMS Park,AUTO_AND_VEHICLES,4,3617,7900000,100000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-05-16 00:00:00,2.8.2,4.1
78,SKencar,AUTO_AND_VEHICLES,3,4806,35000000,1000000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-07-31 00:00:00,4.0.3,4.0.3
79,auto fines,AUTO_AND_VEHICLES,4,31433,17000000,1000000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-02-08 00:00:00,1.40,4.0.3
80,"Used car is the first car - used car purchase, used car quotation, dealer information to",AUTO_AND_VEHICLES,4,5097,19000000,1000000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-07-23 00:00:00,1.5.18,4.0.3
81,All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),AUTO_AND_VEHICLES,4,1754,14000000,500000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-02-06 00:00:00,2.3.4,4.0
82,Inquiry Fines and Debits of Vehicles,AUTO_AND_VEHICLES,4,2680,2200000,500000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-03-20 00:00:00,1.03,4.0.3
83,Gas Station,AUTO_AND_VEHICLES,4,1288,4500000,100000,TRUE,0,Everyone,Auto & Vehicles,nan,2018-04-21 00:00:00,2.17,4.0
84,Hush - Beauty for Everyone,BEAUTY,4,18900,17000000,500000,TRUE,0,Everyone,Beauty,nan,2018-02-08 00:00:00,6.10.1,5.0
85,"ipsy: Makeup, Beauty, and Tips",BEAUTY,4,49790,14000000,1000000,TRUE,0,Everyone,Beauty,nan,2017-09-11 00:00:00,2.3.0,4.1
86,Natural recipes for your beauty,BEAUTY,4,1150,9800000,100000,TRUE,0,Everyone,Beauty,nan,2018-05-15 00:00:00,4.0,4.1
87,"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3,1739,21000000,500000,TRUE,0,Everyone,Beauty,nan,2018-12-07 00:00:00,1.0.6,4.0.3
88,Beauty Selfie Camera,BEAUTY,4,2225,52000000,500000,TRUE,0,Everyone,Beauty,nan,2018-02-28 00:00:00,1.6,4.1
89,Hairstyles step by step,BEAUTY,4,4369,14000000,100000,TRUE,0,Everyone,Beauty,nan,2018-07-25 00:00:00,1.9,4.0.3
90,Filters for Selfie,BEAUTY,4,8572,25000000,1000000,TRUE,0,Everyone,Beauty,nan,2018-10-05 00:00:00,1.1.0,4.0
91,Tie - Always be happy,BEAUTY,4,964,9000000,50000,TRUE,0,Everyone,Beauty,nan,2018-06-21 00:00:00,4.0,4.2
92,Prom MakeUp Tutorial,BEAUTY,4,104,12000000,10000,TRUE,0,Everyone,Beauty,nan,2018-06-26 00:00:00,1.3,4.0.3
93,Sweet Selfie Beauty Camera,BEAUTY,4,601,35000000,100000,TRUE,0,Everyone,Beauty,nan,2018-02-06 00:00:00,2.0.0,4.0
94,Colors of white in Urdu,BEAUTY,4,36,6700000,10000,TRUE,0,Everyone,Beauty,nan,2018-07-26 00:00:00,6.0,4.0
95,Selfie Camera Photo Editor & Filter & Sticker,BEAUTY,4,187,30000000,50000,TRUE,0,Teen,Beauty,nan,2018-07-24 00:00:00,3.0.1,4.0.3
96,Eyes Makeup Beauty Tips,BEAUTY,4,30,2900000,10000,TRUE,0,Everyone,Beauty,nan,2018-09-04 00:00:00,3.3.9,4.0.3
97,Photo Editor 2018,BEAUTY,4,134,17000000,10000,TRUE,0,Everyone,Beauty,nan,2018-01-03 00:00:00,1.20,4.0.3
98,Step By Step Eyes Makeup Tutorial,BEAUTY,4,74,2900000,10000,TRUE,0,Everyone,Beauty,nan,2018-05-04 00:00:00,2.3.09,4.0.3
99,Mirror Camera (Mirror + Selfie Camera),BEAUTY,4,9315,2600000,1000000,TRUE,0,Everyone,Beauty,nan,2017-11-21 00:00:00,1.4.2,4.0
100,Beauty Tips - Beauty Tips in Sinhala,BEAUTY,4,75,4200000,50000,TRUE,0,Everyone,Beauty,nan,2017-10-18 00:00:00,1.0.0,4.0.3
101,Haircut Tutorials/Haircut Videos,BEAUTY,4,38,7100000,10000,TRUE,0,Everyone,Beauty,nan,2018-05-29 00:00:00,1.0,4.0
102,"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",BEAUTY,4,26834,57000000,1000000,TRUE,0,Everyone,Beauty,nan,2018-07-24 00:00:00,18.5,5.0
103,"Sticker Camera - Selfie Filters, Beauty Camera",BEAUTY,3,2277,22000000,500000,TRUE,0,Everyone,Beauty,nan,2018-12-07 00:00:00,1.1.0,4.0.3
104,Filters for B Live,BEAUTY,4,2280,24000000,500000,TRUE,0,Everyone,Beauty,nan,2018-05-14 00:00:00,1.1.0,4.0
105,Facial Wrinkle Reduction,BEAUTY,4,184,21000000,10000,TRUE,0,Everyone,Beauty,nan,2018-02-07 00:00:00,1.5,4.1
106,Makeup Videos,BEAUTY,3,9,3400000,5000,TRUE,0,Everyone,Beauty,nan,2018-07-06 00:00:00,1.0,4.0
107,Discover Color,BEAUTY,4,364,6400000,100000,TRUE,0,Everyone,Beauty,nan,2018-05-24 00:00:00,1.1,4.0.3
108,Eyeliner step by step 2018,BEAUTY,4,18,3200000,5000,TRUE,0,Everyone,Beauty,nan,2018-01-06 00:00:00,1.2.13,4.0.3
109,Dresses Ideas & Fashions +3000,BEAUTY,4,473,8199999,100000,TRUE,0,Mature 17+,Beauty,nan,2017-01-03 00:00:00,1.0.2.0,1.6
110,Step By Step Hairstyles For Women,BEAUTY,4,66,2900000,10000,TRUE,0,Everyone,Beauty,nan,2018-05-04 00:00:00,3.1.89,4.0.3
111,Rainbow Camera,BEAUTY,3,3871,23000000,1000000,TRUE,0,Everyone,Beauty,nan,2018-07-30 00:00:00,2.2.0,4.0
112,Methods of teeth whitening,BEAUTY,4,257,4600000,50000,TRUE,0,Everyone,Beauty,nan,2017-07-08 00:00:00,1.0,4.0.3
113,Girls hairstyles 2018,BEAUTY,4,62,3100000,10000,TRUE,0,Everyone,Beauty,nan,2018-05-28 00:00:00,1.9.2,4.0.3
114,E-Book Read - Read Book for free,BOOKS_AND_REFERENCE,4,1857,4900000,50000,TRUE,0,Everyone,Books & Reference,nan,2018-03-08 00:00:00,1.3.2,4.4
115,Download free book with green book,BOOKS_AND_REFERENCE,4,4478,9500000,100000,TRUE,0,Everyone 10+,Books & Reference,nan,2017-07-31 00:00:00,1.1,4.0
116,Free Panda Radio Music,BOOKS_AND_REFERENCE,4,418,4200000,100000,TRUE,0,Everyone,Books & Reference,nan,2018-03-27 00:00:00,2.1,4.1
117,Book store,BOOKS_AND_REFERENCE,4,22486,5400000,1000000,TRUE,0,Teen,Books & Reference,nan,2018-06-06 00:00:00,3.2.1,4.0
118,English Grammar Complete Handbook,BOOKS_AND_REFERENCE,4,1435,2800000,500000,TRUE,0,Everyone,Books & Reference,nan,2018-01-21 00:00:00,1.0,4.0
119,Free Books - Spirit Fanfiction and Stories,BOOKS_AND_REFERENCE,4,116507,5000000,1000000,TRUE,0,Teen,Books & Reference,nan,2018-01-08 00:00:00,2.0.075,4.0.3
120,AlReader -any text book reader,BOOKS_AND_REFERENCE,4,90468,5900000,5000000,TRUE,0,Everyone,Books & Reference,nan,2018-05-27 00:00:00,1.911805270,2.3
121,Offline English Dictionary,BOOKS_AND_REFERENCE,4,860,13000000,100000,TRUE,0,Everyone,Books & Reference,nan,2018-07-17 00:00:00,1.0,4.0.3
122,Oxford Dictionary of English : Free,BOOKS_AND_REFERENCE,4,363934,7100000,10000000,TRUE,0,Everyone,Books & Reference,nan,2018-11-07 00:00:00,9.1.363,4.1
123,Offline: English to Tagalog Dictionary,BOOKS_AND_REFERENCE,4,967,6700000,500000,TRUE,0,Everyone,Books & Reference,nan,2018-04-08 00:00:00,1.1.6,4.0.3
124,FamilySearch Tree,BOOKS_AND_REFERENCE,4,17506,17000000,1000000,TRUE,0,Everyone,Books & Reference,nan,2018-07-20 00:00:00,2.3.18,4.1
125,Cloud of Books,BOOKS_AND_REFERENCE,3,1862,19000000,1000000,TRUE,0,Everyone,Books & Reference,nan,2018-04-27 00:00:00,2.2.5,4.1
126,Recipes of Prophetic Medicine for free,BOOKS_AND_REFERENCE,4,2084,6700000,500000,TRUE,0,Everyone,Books & Reference,nan,2018-05-17 00:00:00,15.0,2.3
127,ReadEra – free ebook reader,BOOKS_AND_REFERENCE,4,47303,21000000,1000000,TRUE,0,Everyone,Books & Reference,nan,2018-02-06 00:00:00,18.05.31+530,4.1
128,Ebook Reader,BOOKS_AND_REFERENCE,4,85842,37000000,5000000,TRUE,0,Everyone,Books & Reference,nan,2018-06-25 00:00:00,5.0.6,4.0
129,Litnet - E-books,BOOKS_AND_REFERENCE,4,7831,15000000,100000,TRUE,0,Teen,Books & Reference,nan,2018-04-07 00:00:00,1.2.3,4.0
130,Read books online,BOOKS_AND_REFERENCE,4,91615,23000000,5000000,TRUE,0,Mature 17+,Books & Reference,nan,2018-06-29 00:00:00,3.12,4.1
131,English to Urdu Dictionary,BOOKS_AND_REFERENCE,4,4620,19000000,500000,TRUE,0,Everyone,Books & Reference,nan,2017-11-23 00:00:00,2.0,4.0.3
132,eBoox: book reader fb2 epub zip,BOOKS_AND_REFERENCE,4,21336,23000000,1000000,TRUE,0,Everyone,Books & Reference,nan,2018-06-20 00:00:00,1.28,3.0
133,English Persian Dictionary,BOOKS_AND_REFERENCE,4,26875,73000000,500000,TRUE,0,Everyone,Books & Reference,nan,2018-01-08 00:00:00,6.0.8,4.0.3
134,Flybook,BOOKS_AND_REFERENCE,3,1778,4900000,500000,TRUE,0,Mature 17+,Books & Reference,nan,2014-10-16 00:00:00,1.0.3,2.1
135,All Maths Formulas,BOOKS_AND_REFERENCE,4,2709,6800000,1000000,TRUE,0,Everyone,Books & Reference,nan,2018-11-07 00:00:00,1.9,4.4
136,English translation from Bengali,BOOKS_AND_REFERENCE,4,527,2900000,100000,TRUE,0,Everyone,Books & Reference,nan,2018-03-31 00:00:00,14.0,4.0
137,Pdf Book Download - Read Pdf Book,BOOKS_AND_REFERENCE,4,1322,3500000,100000,TRUE,0,Everyone,Books & Reference,nan,2018-05-28 00:00:00,6.0,4.0.3
138,Free Book Reader,BOOKS_AND_REFERENCE,3,1680,4000000,100000,TRUE,0,Everyone,Books & Reference,nan,2016-08-20 00:00:00,3.05,4.0.3
139,eBoox new: Reader for fb2 epub zip books,BOOKS_AND_REFERENCE,4,2739,21000000,50000,TRUE,0,Everyone,Books & Reference,nan,2018-07-17 00:00:00,2.0,3.0
140,"Only 30 days in English, the guideline is guaranteed",BOOKS_AND_REFERENCE,4,1065,2300000,500000,TRUE,0,Everyone,Books & Reference,nan,2018-06-16 00:00:00,1.5,3.0
141,English-Myanmar Dictionary,BOOKS_AND_REFERENCE,4,8788,10000000,1000000,TRUE,0,Everyone,Books & Reference,nan,2018-07-28 00:00:00,2.5.3,4.0
142,Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,4,51269,6100000,1000000,TRUE,0,Everyone,Books & Reference,nan,2018-07-19 00:00:00,7.0.4.6,4.2
143,All Language Translator Free,BOOKS_AND_REFERENCE,4,30105,2100000,1000000,TRUE,0,Everyone,Books & Reference,nan,2018-07-29 00:00:00,1.15,4.0.3
144,Azpen eReader,BOOKS_AND_REFERENCE,3,156,42000000,500000,TRUE,0,Everyone,Books & Reference,nan,2018-02-15 00:00:00,3.1.7.9,2.2
145,English Dictionary - Offline,BOOKS_AND_REFERENCE,4,341157,30000000,10000000,TRUE,0,Everyone 10+,Books & Reference,nan,2018-03-20 00:00:00,3.9.1,4.2
146,ADP Mobile Solutions,BUSINESS,4,85185,29000000,5000000,TRUE,0,Everyone,Business,nan,2018-07-17 00:00:00,3.4.2,5.0
147,OfficeSuite : Free Office + PDF Editor,BUSINESS,4,1002861,35000000,100000000,TRUE,0,Everyone,Business,nan,2018-02-08 00:00:00,9.7.14188,4.1
148,USPS MOBILE®,BUSINESS,3,16589,9100000,1000000,TRUE,0,Everyone,Business,nan,2018-06-14 00:00:00,4.9.10,4.0.3
149,Job Search by ZipRecruiter,BUSINESS,4,148945,25000000,1000000,TRUE,0,Everyone,Business,nan,2018-07-19 00:00:00,5.2.8,5.0
150,Curriculum vitae App CV Builder Free Resume Maker,BUSINESS,4,4458,3900000,500000,TRUE,0,Everyone,Business,nan,2018-08-07 00:00:00,3.3,4.1
151,Google Primer,BUSINESS,4,62272,18000000,10000000,TRUE,0,Everyone,Business,nan,2018-06-26 00:00:00,3.550.2,4.1
152,Alba Heaven - Alvarez Job Portal Services,BUSINESS,4,8941,12000000,5000000,TRUE,0,Everyone,Business,nan,2018-07-31 00:00:00,4.6.30,4.0.3
153,SuperLivePro,BUSINESS,4,46353,21000000,1000000,TRUE,0,Everyone,Business,nan,2016-04-13 00:00:00,2.8,1.5
154,Polaris Office for LG,BUSINESS,4,30847,55000000,5000000,TRUE,0,Everyone,Business,nan,2018-08-02 00:00:00,7.3.21,4.1
155,Call Blocker,BUSINESS,4,188841,3200000,5000000,TRUE,0,Everyone,Business,nan,2018-06-21 00:00:00,1.1.13,4.0
156,Plugin:AOT v5.0,BUSINESS,3,4034,23000,100000,TRUE,0,Everyone,Business,nan,2015-11-09 00:00:00,3.0.1.11 (Build 311),2.2
157,Kariyer.net,BUSINESS,3,45964,16000000,1000000,TRUE,0,Everyone,Business,nan,2018-07-18 00:00:00,5.1.5,4.1
158,Become a Job - Find a job or advertise,BUSINESS,4,6903,14000000,1000000,TRUE,0,Everyone,Business,nan,2018-10-07 00:00:00,2.3.6,4.1
159,ZOOM Cloud Meetings,BUSINESS,4,31614,37000000,10000000,TRUE,0,Everyone,Business,nan,2018-07-20 00:00:00,4.1.28165.0716,4.0
160,"IndiaMART: Search Products, Buy, Sell & Trade",BUSINESS,4,207372,11000000,5000000,TRUE,0,Everyone,Business,nan,2018-02-08 00:00:00,12.2.4,4.0
161,ViettelPost express delivery,BUSINESS,4,1225,25000000,100000,TRUE,0,Everyone,Business,nan,2018-01-08 00:00:00,1.0.6.8,4.1
